Price,Close,High,Low,Open,Volume,MA20,MA50,RSI,Signal,Returns,Strategy_Returns
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,,,,,,
Date,,,,,,,,,,,
2023-02-24,17465.80078125,17599.75,17421.80078125,17591.349609375,209400,17769.944921875,17944.1029296875,37.25908566231768,0,-0.002595429723749043,-0.0
2023-02-27,17392.69921875,17451.599609375,17299.0,17428.599609375,246400,17757.132421875,17926.5769140625,36.32956003443067,0,-0.004185411445805309,-0.0
2023-02-28,17303.94921875,17440.44921875,17255.19921875,17383.25,420900,17739.22236328125,17904.2469140625,25.123744582965358,0,-0.0051027157362857345,-0.0
2023-03-01,17450.900390625,17467.75,17345.25,17360.099609375,272900,17730.95234375,17885.55890625,32.5265935706563,0,0.008492348770636093,0.0
2023-03-02,17321.900390625,17445.80078125,17306.0,17421.5,310700,17716.52734375,17868.014921875,30.322458199197413,0,-0.007392168719804415,-0.0
2023-03-03,17594.349609375,17644.75,17427.69921875,17451.25,356200,17703.54228515625,17857.354921875,44.287306867820746,0,0.015728598629827895,0.0
2023-03-06,17711.44921875,17799.94921875,17671.94921875,17680.349609375,362800,17700.884765625,17855.447890625,42.73645291078428,0,0.006655523618366965,0.0
2023-03-08,17754.400390625,17766.5,17602.25,17665.75,267000,17702.52978515625,17850.24390625,41.048415139761936,0,0.0024250512391459367,0.0
2023-03-09,17589.599609375,17772.349609375,17573.599609375,17772.05078125,262400,17688.4248046875,17839.3898828125,36.09945025661991,0,-0.009282249899975281,-0.0
2023-03-10,17412.900390625,17451.5,17324.349609375,17443.80078125,235900,17664.39736328125,17825.197890625,34.282970661545235,0,-0.010045664635585094,-0.0
2023-03-13,17154.30078125,17529.900390625,17113.44921875,17421.900390625,254900,17629.28740234375,17804.46390625,31.33521548050203,0,-0.014851035931626178,-0.0
2023-03-14,17043.30078125,17224.650390625,16987.099609375,17160.55078125,290600,17592.907421875,17783.22390625,29.83323579276349,0,-0.006470680525861194,-0.0
